"Species","Acronyms","Other.Acronyms","Other.Names"
"Dyoepsilonpapillomavirus 1","DEpPV-1",NA,NA
"Dyoetapapillomavirus 1","DEtPV-1",NA,NA
"Dyoiotapapillomavirus 1","DIoPV-1",NA,NA
"Dyoiotapapillomavirus 2","DIoPV-2",NA,NA
"Dyokappapapillomavirus 1","DKaPV-1",NA,NA
"Dyokappapapillomavirus 2","DKaPV-2",NA,NA
"Dyolambdapapillomavirus 1","DLaPV-1",NA,NA
"Dyomupapillomavirus 1","DMuPV-1",NA,NA
"Dyonupapillomavirus 1","DNuPV-1",NA,NA
"Dyoomegapapillomavirus 1","DOmePV-1",NA,NA
"Dyoomikronpapillomavirus 1","DOmiPV-1",NA,NA
"Dyophipapillomavirus 1","DPhPV-1",NA,NA
"Dyopipapillomavirus 1","DPiPV-1",NA,NA
"Dyopsipapillomavirus 1","DPsPV-1",NA,NA
"Dyorhopapillomavirus 1","DRhPV-1",NA,NA
"Dyosigmapapillomavirus 1","DSiPV-1",NA,NA
"Dyotaupapillomavirus 1","DTaPV-1",NA,NA
"Dyothetapapillomavirus 1","DThPV-1",NA,NA
"Dyoupsilonpapillomavirus 1","DOuPV-1",NA,NA
"Dyoxipapillomavirus 1","DXiPV-1",NA,NA
"Dyozetapapillomavirus 1","DZePV-1",NA,NA
"Epsilonpapillomavirus 1","EpPV-1","BPV-5","Bovine papillomavirus 5"
"Etapapillomavirus 1","EtPV-1","FcPV","Fringilla coelebs papillomavirus"
"Gammapapillomavirus 1","GaPV-1","HPV-4, HPV-65, HPV-95","Human papillomavirus 4, Human papillomavirus 65, Human papillomavirus 95"
"Gammapapillomavirus 2","GaPV-2","HPV-48","Human papillomavirus 48"
"Gammapapillomavirus 3","GaPV-3","HPV-50","Human papillomavirus 50"
"Gammapapillomavirus 4","GaPV-4","HPV-60","Human papillomavirus 60"
"Gammapapillomavirus 5","GaPV-5","HPV-88","Human papillomavirus 88"
"Gammapapillomavirus 6","GaPV-6",NA,NA
"Gammapapillomavirus 7","GaPV-7",NA,NA
"Gammapapillomavirus 8","GaPV-8",NA,NA
"Gammapapillomavirus 9","GaPV-9",NA,NA
"Gammapapillomavirus 10","GaPV-10",NA,NA
"Gammapapillomavirus 11","GaPV-11",NA,NA
"Gammapapillomavirus 12","GaPV-12",NA,NA
"Gammapapillomavirus 13","GaPV-13",NA,NA
"Gammapapillomavirus 14","GaPV-14",NA,NA
"Gammapapillomavirus 15","GaPV-15",NA,NA
"Gammapapillomavirus 16","GaPV-16",NA,NA
"Gammapapillomavirus 17","GaPV-17",NA,NA
"Gammapapillomavirus 18","GaPV-18",NA,NA
"Gammapapillomavirus 19","GaPV-19",NA,NA
"Gammapapillomavirus 20","GaPV-20",NA,NA
"Gammapapillomavirus 21","GaPV-21",NA,NA
"Gammapapillomavirus 22","GaPV-22",NA,NA
"Gammapapillomavirus 23","GaPV-23",NA,NA
"Gammapapillomavirus 24","GaPV-24",NA,NA
"Gammapapillomavirus 25","GaPV-25",NA,NA
"Gammapapillomavirus 26","GaPV-26",NA,NA
"Iotapapillomavirus 1","IoPV-1","MnPV","Mastomys natalensis papillomavirus"
"Kappapapillomavirus 1","KaPV-1","CRPV","Cottontail rabbit papillomavirus"
"Kappapapillomavirus 2","KaPV-2","ROPV","Rabbit oral papillomavirus"
"Lambdapapillomavirus 1","LaPV-1","FdPV","Feline papillomavirus"
"Lambdapapillomavirus 2","LaPV-2","COPV","Canine oral papillomavirus"
"Lambdapapillomavirus 3","LaPV-3",NA,NA
"Lambdapapillomavirus 4","LaPV-4",NA,NA
"Lambdapapillomavirus 5","LaPV-5",NA,NA
"Mupapillomavirus 1","MuPV-1","HPV-1","Human papillomavirus 1"
"Mupapillomavirus 2","MuPV-2","HPV-63","Human papillomavirus 63"
"Mupapillomavirus 3","MuPV-3",NA,NA
"Nupapillomavirus 1","NuPV-1","HPV-41","Human papillomavirus 41"
"Omegapapillomavirus 1","OmePV-1",NA,NA
"Omikronpapillomavirus 1","OmiPV-1","PsPV","Phocoena spinipinnis papillomavirus"
"Phipapillomavirus 1","PhPV-1","HaOPV","Hamster oral papillomavirus"
"Pipapillomavirus 1","PiPV-1",NA,NA
"Pipapillomavirus 2","PiPV-2",NA,NA
"Psipapillomavirus 1","PsPV-1",NA,NA
"Rhopapillomavirus 1","RhPV-1",NA,NA
"Rhopapillomavirus 2","RhPV-2",NA,NA
"Sigmapapillomavirus 1","SiPV-1",NA,NA
"Taupapillomavirus 1","TaPV-1",NA,NA
"Taupapillomavirus 2","TaPV-2",NA,NA
"Taupapillomavirus 3","TaPV-3",NA,NA
"Thetapapillomavirus 1","ThPV-1","PePV","Psittacus erithacus timmeh papillomavirus"
"Treisdeltapapillomavirus 1","TDePV-1",NA,NA
"Treisepsilonpapillomavirus 1","TEpPV-1",NA,NA
"Treisetapapillomavirus 1","TEtPV-1",NA,NA
"Treiszetapapillomavirus 1","TZePV-1",NA,NA
"Upsilonpapillomavirus 1","UpPV-1",NA,NA
"Upsilonpapillomavirus 2","UpPV-2",NA,NA
"Upsilonpapillomavirus 3","UpPV-3",NA,NA
"Xipapillomavirus 1","XiPV-1","BPV-3, BPV-4, BPV-6","Bovine papillomavirus-3, Bovine papillomavirus-4, Bovine papillomavirus-6"
"Xipapillomavirus 2","XiPV-2",NA,NA
"Xipapillomavirus 3","XiPV-3",NA,NA
"Zetapapillomavirus 1","ZePV-1","EcPV-1","Equine papillomavirus-1"
"Salmon aquaparamyxovirus","AsaPV","AsaPV","Atlantic salmon paramyxovirus"
"Avian avulavirus 1","APMV-1","NDV, APMV-1","Newcastle disease virus, Avian paramyxovirus-1"
"Avian avulavirus 2","APMV-2","APMV-2","Avian paramyxovirus 2"
"Avian avulavirus 3","APMV-3","APMV-3","Avian paramyxovirus 3"
"Avian avulavirus 4","APMV-4","APMV-4","Avian paramyxovirus 4"
"Avian avulavirus 5","APMV-5","APMV-5","Avian paramyxovirus 5"
"Avian avulavirus 6","APMV-6","APMV-6","Avian paramyxovirus 6"
"Avian avulavirus 7","APMV-7","APMV-7","Avian paramyxovirus 7"
"Avian avulavirus 8","APMV-8","APMV-8","Avian paramyxovirus 8"
"Avian avulavirus 9","APMV-9","APMV-9","Avian paramyxovirus 9"
"Avian avulavirus 10","APMV-10","APMV-10","Avian paramyxovirus 10"
"Avian avulavirus 11","APMV-11","APMV-11","Avian paramyxovirus 11"
"Avian avulavirus 12","APMV-12","APMV-12","Avian paramyxovirus 12"
"Avian avulavirus 13","APMV-13","APMV-13",NA
"Avian avulavirus 14","APMV-14","APMV-14","Avian paramyxovirus 14"
"Avian avulavirus 15","APMV-15","APMV-15","Avian paramyxovirus 15"
"Avian avulavirus 16","APMV-16","APMV-16","Avian paramyxovirus 16"
"Avian avulavirus 17","APV-A","APV-A","Antarctic penguin virus A"
"Avian avulavirus 18","APV-B","APV-B","Antarctic penguin virus B"
"Avian avulavirus 19","APV-C","APV-C","Antarctic penguin virus C"
"Reptilian ferlavirus","FDLV","FDLV","Fer-de-Lance virus"
"Cedar henipavirus","CedV","CedV","Cedar virus"
"Ghanaian bat henipavirus","GhaBV","KV","Kumasi virus"
"Hendra henipavirus","HeV","HeV","Hendra virus"
"Mojiang henipavirus","MojV","MojV","Mòjiāng virus"
"Nipah henipavirus","NiV","NiV","Nipah virus"
"Canine morbillivirus","CDV","CDV","Canine distemper virus"
"Cetacean morbillivirus","CeMV",NA,NA
"Feline morbillivirus","FeMV",NA,NA
"Measles morbillivirus","MeV","MeV","Measles virus"
"Phocine morbillivirus","PDV","PDV","Phocine distemper virus"
"Rinderpest morbillivirus","RPV","RPV","Rinderpest virus"
"Small ruminant morbillivirus","PPRV","PPRV","Peste-des-petits-ruminants virus"
"Bovine respirovirus 3","BPIV-3","BPIV-3","Bovine parainfluenza virus-3"
"Human respirovirus 1","HPIV-1","HPIV-1","Human parainfluenza virus-1"
"Human respirovirus 3","HPIV-3","HPIV-3","Human parainfluenza virus-3"
"Murine respirovirus","SeV","SeV","Sendai virus"
"Porcine respirovirus 1","PPIV-1","PPIV-1","Porcine parainfluenza virus-1"
"Achimota rubulavirus 1","AchPV-1","Achi-1","Achimota virus-1"
"Achimota rubulavirus 2","AchPV-2","Achi-2","Achimota virus-2"
"Bat mumps rubulavirus","BMuV","MuV-Bat","Bat mumps virus"
"Human rubulavirus 2","HPIV-2","HPIV-2","Human parainfluenza virus-2"
"Human rubulavirus 4","HPIV-4","HPIV-4a","Human parainfluenza virus-4a"
"Mammalian rubulavirus 5","PIV-5","PIV-5, SV-5","Parainfluenza virus-5, Simian virus-5"
"Mapuera rubulavirus","MaRuV","MapV","Mapuera virus"
"Menangle rubulavirus","MeRuV","Menang","Menangle virus"
"Mumps rubulavirus","MuV","MuV","Mumps virus"
"Porcine rubulavirus","LPMV","LPMV","La Piedad Michoacán Mexico virus"
"Simian rubulavirus","SV-41","SV-41","Simian virus -41"
"Sosuga rubulavirus","SoRuV","Sosuga","Sosuga virus"
"Teviot rubulavirus","TeRuV","Teviot","Teviot virus"
"Tioman rubulavirus","TiRuV","Tioman","Tioman virus"
"Tuhoko rubulavirus 1","TuRuV-1","Tuhoko-1","Tuhoko virus 1"
"Tuhoko rubulavirus 2","TuRuV-2","Tuhoko-2","Tuhoko virus 2"
"Tuhoko rubulavirus 3","TuRuV-3","Tuhoko-3","Tuhoko virus 3"
"Asteroid ambidensovirus 1","AsAdV-1","SSaDV-1","sea star-associated densovirus"
"Blattodean ambidensovirus 1","BlAdV-1","PfDV","Periplaneta fuliginosa densovirus"
"Blattodean ambidensovirus 2","BlAdV-2","BgDV-1","Blattella germanica densovirus 1"
"Decapod ambidensovirus 1","DeAdV-1","CqDV-1","Cherax quadricarinatus densovirus"
"Dipteran ambidensovirus 1","DiAdV-2","CpDV","Culex pipens densovirus"
"Hemipteran ambidensovirus 1","HeAdV-1","PcDV","Planococcus citri densovirus"
"Hemipteran ambidensovirus 2","HeAdV-2","DplDV-1, DplDV-2","Dysaphis plantaginea densovirus 1, Dysaphis plantaginea densovirus 2"
"Hemipteran ambidensovirus 3","HeAdV-3","MpDV-1, MpNDV","Muscovy duck parvovirus 1, Myzus persicae nicotianae densovirus"
"Hymenopteran ambidensovirus 1","HyAdV-1","SiDV1","Solenopsis invicta densovirus 1"
"Lepidopteran ambidensovirus 1","LeAdV-1","DsDV, GmDV, HaDV-1, JcDV, JcDV,MIDV, PiDV","Diatraea saccharalis densovirus, Galleria mellonella densovirus, Helicoverpa armigera densovirus, Junonia coenia densovirus, Mythimna loreyi densovirus, Pseudoplusia includens densovirus"
"Orthopteran ambidensovirus 1","OrAdV-1","AdDV","Acheta domesticus densovirus"
"Dipteran brevidensovirus 1","DiBdV-1","AaeDV-1, AalDV-1, CppDV, AgDV, AaeDV-2","Aedes aegypti densovirus 1, Aedes albopictus densovirus 1, Culex pipiens pallens densovirus, Anopheles gambiae densovirus, Aedes aegypti densovirus 2"
"Dipteran brevidensovirus 2","DiBdV-2","AalDV-2, AalDV-3, HeDV","Aedes albopictus densovirus 2, Aedes albopictus densovirus 3, Haemagogus equinus densovirus"
"Decapod hepandensovirus 1","DeHdV-1","PmergDNV","Penaeus monodon hepandensovirus 1, Penaeus monodon hepandensovirus, Penaeus monodon hepandensovirus 2, Penaeus monodon hepandensovirus 3, Penaeus merguiensis hepandensovirus, Penaeus monodon hepandensovirus 4, Fenneropenaeus chinensis hepandensovirus"
"Lepidopteran iteradensovirus 1","LeIdV-1","BmDV","Bombyx mori densovirus"
"Lepidopteran iteradensovirus 2","LeIdV-2","CeDV, SfDV","Casphalia extranea densovirus, Sibine fusca densovirus"
"Lepidopteran iteradensovirus 3","LeIdV-3","DpDV","Dendrolimus punctuatus densovirus"
"Lepidopteran iteradensovirus 4","LeIdV-4","PpDV","Papilio polyxenes densovirus"
"Lepidopteran iteradensovirus 5","LeIdV-5","HaDV-2","Helicoverpa armigera densovirus"
"Decapod penstyldensovirus 1","DePdV-1","PstDV-1, PstDV-2, PmoPDV-1, PmoDV-2","Penaeus stylirostris penstyldensovirus 1, Penaeus monodon penstyldensovirus 1, Penaeus monodon penstyldensovirus 2, Penaeus stylirostris penstyldensovirus 2"
"Orthopteran densovirus 1","OrDV-1","AdMADV","Acheta domestica mini ambidensovirus"
"Carnivore amdoparvovirus 1","CaAmV-1","AMDV-G","Aleutian mink disease virus -G"
"Carnivore amdoparvovirus 2","CaAmV-2","GFAV","Grey fox amdovirus"
"Galliform aveparvovirus 1","GaAvV","ChPV, TuPV","Chicken parvovirus ABU-P1, Turkey parvovirus-260"
"Carnivore bocaparvovirus 1","CaBoV-1","CnMV","Canine minute virus"
"Carnivore bocaparvovirus 2","CaBoV-2","CBoV","Canine bocavirus 1"
"Carnivore bocaparvovirus 3","CaBoV-3","FBoV","Feline bocavirus"
"Pinniped bocaparvovirus 1","PiBoV-1","CslBoV-1, CslBoV-2","California sea lion bocavirus 1, Californai sea lion bocavirus 2"
"Pinniped bocaparvovirus 2","PiBoV-2","CslBoV-3","California sea lion bocavirus 3"
"Primate bocaparvovirus 1","PrBoV-1","HBoV-1","Human bocavirus 1, Human bocavirus 3, Gorilla bocavirus"
"Primate bocaparvovirus 2","PrBoV-2","HBoV-2a-TU, HBoV2b-NI, HboV2c-PK, HBoV4-NI","Human bocavirus 2a TU,Human bocavirus 2b NI, Human bocavirus 2c PK, Human bocavirus 4 NI"
"Ungulate bocaparvovirus 1","UnBoV-1","BPV","Bovine parvovirus"
"Ungulate bocaparvovirus 2","UnBoV-2","PBoV-1, PBoV-2, PBoV-A6","Porcine bocavirus 1, Porcine bocavirus 2, Porcine bocavirus A6"
"Ungulate bocaparvovirus 3","UnBoV-3","PBoV-SX","Porcine bocavirus SX"
"Ungulate bocaparvovirus 4","UnBoV-4","PBoV-H18","Porcine bocavirus H18"
"Ungulate bocaparvovirus 5","UnBoV-5","PBoV-3, PBoV-4-1, PBoV-4-2","Porcine bocavirus 3, porcine bocavirus 4-1, Porcine bocavirus 4-2"
"Ungulate copiparvovirus 1","UnCpV-1","BPV-2","Bovine parvovirus 2"
"Ungulate copiparvovirus 2","UnCpV-2","PPV-4","Porcine parvovirus 4"
"Adeno-associated dependoparvovirus A","AADpV-A","AAV-1,AAV-6, AAV-2, AAV-S17, AAV-3, AAV-4,AAV-7,AAV-8,AAV-9, AAV-10, AAV-11, AAV-12, AAV-13","Adeno-associated virus-1, Adeno-associated virus-6, Adeno-associated virus-2,Adeno-associated virus-S17, Adeno-associated virus-3, Adeno-associated virus-4, Adeno-associated virus-7, Adeno-associated virus-8, Adeno-associated virus-9, Adeno-associated virus-10, Adeno-associated virus-11, Adeno-associated virus-12, Adeno-associated virus-13"
"Adeno-associated dependoparvovirus B","AADpV-B","AAV-5, BAAV, CapAAV","Adeno-associated virus-5, Bovine adeno-associated virus, Caprine adeno-associated virus"
"Anseriform dependoparvovirus 1","AnDpV-1","DPV,GPV-2,GPV","Duck parvovirus, Goose parvovirus-PT, Goose parvovirus"
"Avian dependoparvovirus 1","AvDpV-1","AAAV","Avian adeno-associated virus"
"Chiropteran dependoparvovirus 1","ChDpV-1","BtAAV","Bat adeno-associated virus"
"Pinniped dependoparvovirus 1","PoDpV-1","CslAAV","California sea lion adeno-asssociated virus"
"Squamate dependoparvovirus 1","AqDpV-1","SAAV","Snake adeno-associated virus"
"Primate erythroparvovirus 1","PrEpV-1","B19V","Human parvovirus B19"
"Primate erythroparvovirus 2","PrEpV-2","SPV","Simian parvovirus"
"Primate erythroparvovirus 3","PrEpV-3","RhMPV","Rhesus macaque parvovirus"
"Primate erythroparvovirus 4","PrEpV-4","PtMPV","Pig-tailed macaque parvovirus"
"Rodent erythroparvovirus 1","RoEpV-1","ChpPV","Chipmunk parvovirus"
"Ungulate erythroparvovirus 1","UnEpV-1","BPV-3","Bovine parvovirus 3"
"Carnivore protoparvovirus 1","CaPpV-1","FPV, CPV, MEV, RaPV","Feline panleukopedia virus, feline parvovirus FVP-3, Canine parvovirus CPV-N, Mink enteritis virus Abashiri, Racoon parvovirus 118-A"
"Primate protoparvovirus 1","PrPpV-1","BuPV-1a, BuPV-1b, BuPV2","Bufavirus 1a, Bufavirus 1b, Bufavirus 2"
"Rodent protoparvovirus 1","RoPpV-1","H1, KRV, LuIII, MVMp, MVMi, MVMm, MVMc, MPV-1, MPV-2, MPV-3, MPV-4,MPV-5, HaPV,TVX, RMV-1","H-1 parvovirus, Kilham rat virus, LuIII virus, Minute virus of mice (prototype), Minute virus of mice (immunosuppressive), Minute virus of mice (Missouri), Minute virus of mice (Cutter), Mouse parvovirus 1, Mouse parvovirus 2, Mouse parvovirus 3, Mouse parvovirus 4, Mouse parvovirus 5, Hamster parvovirus, Tumor virus X, Rat minute virus 1"
"Rodent protoparvovirus 2","RoPpV-2","RPV-1","Rat parvovirus 1"
"Ungulate protoparvovirus 1","UnPpV-1","PPV-Kr, PPV-NADL2","Porcine parvovirus, Porcine parvovirus Kresse, Porcine parvovirus NADL-2"
"Chiropteran tetraparvovirus 1","ChTpV-1","Ba-PARV-4","Eidolon helvum (bat) parvovirus, Bat parvovirus 4"
"Primate tetraparvovirus 1","PrTpV-1","PARV4G1, PARV4G2, PARV4G3, Ch-PARV4","Human parvovirus 4 G1, Human parvovirus 4 G2 (C25-5), Human parvovirus 4 G3 (NG-OR), Chimpanzee parvovirus 4"
"Ungulate tetraparvovirus 1","UnTpV-1","BHoV-1,  BHoV-2, B-PARV4-1, B-PARV4-2","Bovine hokovirus 1, Bovine hokovirus 2, Bovine parvovirus 4-1, Bovine parvovirus 4-2"
"Ungulate tetraparvovirus 2","UnTpV-2","PHoV, P-PARV4","Porcine hokovirus, Porcine parvovirus 4"
"Ungulate tetraparvovirus 3","UnTpV-3","CnP-PARV4","Porcine cnvirus"
"Ungulate tetraparvovirus 4","UnTpV-4","OHoV, O-PARV4","Ovine hokovirus, Ovine parvovirus 4"
"Herbert herbevirus","HEBV","HEBV","Herbert virus"
"Kibale herbevirus","KIBV","KIBV","Kibale virus"
"Shuangao insect herbevirus 1","SgIV","SgIV","Shuāngào insect virus 1"
"Tai herbevirus","TAIV","TAIV","Taï virus"
"Acara orthobunyavirus","AcObV","ACAV, MORV","Acaravirus, Moriche virus"
"Akabane orthobunyavirus","AkObV","AKAV, SABOV, TINV, Y7V","Akabane virus, Sabo virus, Tinaroo virus, Yaba-7 virus"
"Alajuela orthobunyavirus","AlObV","ALJV, SJV","Alajuela virus, San Juan virus"
"Anopheles A orthobunyavirus","AAObV","ANAV, LMV, LUKV,TRMV","Anopheles A virus, Las Maloyas virus, Lukuni virus, Trombetas virus"
"Anopheles B orthobunyavirus","ABObV","ANBV, BORV","Anopheles B virus, Boraceia virus"
"Bakau orthobunyavirus","BkObV","BAKV, KETV, NOLAV, TRV, TFV","Bakau virus, Ketapang virus, Nola virus, Tahjong rabok virus, Telok forest virus"
"Batama orthobunyavirus","BtObV","BMAV","Batama virus"
"Benevides orthobunyavirus","BnObV","BENV","Benevides virus"
"Bertioga orthobunyavirus","BrObV","BERV, CNAV, GTBV, ITIV, MIRV","Bertioga virus, Cananeia virus, Guaratuba virus, Itimirim virus, Mirim virus"
"Bimiti orthobunyavirus","BiObV","BIMV","Bimiti virus"
"Botambi orthobunyavirus","BoObV","BOTV","Botambi virus"
"Bunyamwera orthobunyavirus","BUNV","BUNV, CVV, FSV, GERV, IACOV, ILEV, LIKV,MAGV, MBOV, NRIV, NORV, PLAV, POTV, SARV, SHOV, TENV, TLAV, TUCV, XINV","Bunyamwera virus, Batai virus, Birao virus, Bozo virus, Cache valley virus, Fort Sherman virus, Germiston virus, Iaco virus, Ilesha virus, Lokern virus, Maguari, Mboke virus, Ngari virus, Northway virus, Playas virus, Potosi virus, Santa Rosa virus, Shokwe virus, Tensaw virus, Tlacotalpan virus, Tucunda virus, Xingu virus"
"Bushbush orthobunyavirus","BsObV","BSBV, BENV, JDV","Bushbush virus, Benfica virus, Juan Diaz virus"
"Bwamba orthobunyavirus","BwObV","BWAV, PGAV","Bwamba virus, Pongola virus"
"California encephalitis orthobunyavirus","ClObV","CEV, INKV, JCV, KEYV, LACV, LUMV, MELV, SAV, SDNV, SSHV, SORV, TAHV, TVTV","California encephalitis virus, Inkoo virus, Jamestown canyon virus, Keystone virus, La crosse virus, Lumbo virus, Melao virus, San Angelo virus, Serra do Navio virus, Snowshoe hare virus, South river virus, Tahyna virus, Trivittatus virus"
"Capim orthobunyavirus","CpObV","CAPV","Capim virus"
"Caraparu orthobunyavirus","CrObV","CARV, APEUV, BRUV, OSSAV, VINV","Caraparu virus, Apeu virus, Bruconha virus, Ossa virus, Vinces virus"
"Catu orthobunyavirus","CtObV","CATUV","Catu virus"
"Estero Real orthobunyavirus","ERObV","ERV","Estero Real virus"
"Gamboa orthobunyavirus","GaObV","GAMV, PVV","Gamboa virus, Pueblo Viejo virus"
"Guajara orthobunyavirus","GjObV","GJAV","Guajara virus"
"Guama orthobunyavirus","GmObV","GMAV, ANUV, MOJUV, MHV","Guama virus, Ananindeua virus, Moju virus, Mahogany Hammock virus"
"Guaroa orthobunyavirus","GrObV","GROV","Guaroa virus"
"Kaeng Khoi orthobunyavirus","KKObV","KKV","Kaeng Khoi virus"
"Kairi orthobunyavirus","KaObV","KRIV","Kairi virus"
"Koongol orthobunyavirus","KoObV","KOOV, WOMV","Koongol virus, Wongal virus"
"Madrid orthobunyavirus","MdObV","MADV","Madrid virus"
"Main Drain orthobunyavirus","MDObV","MDV","Main Drain virus"
"Manzanilla orthobunyavirus","MnObV","BUTV, INGV, INIV, MANV, MERV","Buttonwillow virus, Ingwavuma virus, Inini virus, Manzanilla virus, Mermet virus"
"Marituba orthobunyavirus","MrObV","GLV, MTBV, MURV, NEPV, RESV","Gumbo Limbo virus, Marituba virus, Murutucu virus, Nepuyo virus, Restan virus"
"Minatitlan orthobunyavirus","MiObV","MNTV, PLSV","Minatitlan virus, Palestina virus"
"MPoko orthobunyavirus","MPObV","MPOV, Y1V","M'Poko virus, Yaba-1 virus"
"Nyando orthobunyavirus","NyObV","NDV, ERETV","Nyando virus, Eret virus"
"Olifantsvlei orthobunyavirus","OlObV","BIAV, DABV, OLIV, OUBIV","Bobia virus, Dabakala virus, Olifantsvlei virus, Oubi virus"
"Oriboca orthobunyavirus","OrbObV","ITQV, ORIV","Itaqui virus, Oriboca virus"
"Oropouche orthobunyavirus","OrpObV","FPV, OROV, UTIV, UVV","Facey's Paddock virus, Oropouche virus, Utinga virus, Utive virus"
"Patois orthobunyavirus","PAObV","ABRV, BABV, PAHV, PATV, SRV","Abras virus, Babahoya virus, Pahayokee virus, Patois virus, Shark river virus"
"Sathuperi orthobunyavirus","SaObV","DOUV, SATV, SBV","Douglas virus, Sathuperi virus; Schmallenberg virus"
"Shamonda orthobunyavirus","ShaObV","PEAV, SANV, SHAV","Peaton virus, Sango virus, Shamonda virus"
"Shuni orthobunyavirus","ShuObV","AINOV, KAIV, SHUV","Aino virus, Kaikalur virus, Shuni virus"
"Simbu orthobunyavirus","SiObV","SIMV, -","Simbu virus, Oya virus"
"Tacaiuma orthobunyavirus","TaObV","CA1071V, CA3627V, TCMV, VRV","CoAR 1071 virus, CoAr 3627 virus, Tacaiuma virus, Virgin river virus"
"Tete orthobunyavirus","TeObV","BAHV, MTRV, TETEV, TSUV, WELV","Bahig virus, Matruh virus, Tete virus, Tsuruse virus, Weldona virus"
"Thimiri orthobunyavirus","ThObV","THIV","Thimiri virus"
"Timboteua orthobunyavirus","TiObV","TBTV","Timboteua virus"
"Turlock orthobunyavirus","TuObV","LEDV, TURV, UMBV","Lednice virus, Turlock virus, Umbre virus"
"Wyeomyia orthobunyavirus","WyObV","AMBV, BAV, MCAV, SORV, TAIAV, WYOV","Anhembi virus, BeAr 328208 virus, Macaua virus, Sororoca virus, Taiassui virus, Wyeomyia virus"
"Zegla orthobunyavirus","ZeGkV","ZEGV","Zegla virus"
"Cumuto goukovirus","CuGkV","CUMV","Cumuto virus"
"Gouleako goukovirus","GoGkV","GOLV","Gouléako virus"
"Yichang insect goukovirus","YIGkV","YIV","Yíchāng insect virus"
"Badu phasivirus","BaPsV","BADUV","Badu virus"
"Phasi Charoen-like phasivirus","PCPsV","PCLV","Phasi Charoen-like virus"
"Wuhan fly phasivirus","WGPsV","WFV","Wǔhàn fly virus"
"Wutai mosquito phasivirus","WMPsV","WMV","Wǔtái mosquito virus"
"Bujaru phlebovirus","BuPbV","BUJV, MUNV","Bajaru virus, Munguba virus"
"Candiru phlebovirus","CaPbV","ALEV, CDUV, ITAV, NIQV, ORXV, TUAV","Alenquer virus, Chandiru virus, Itaituba virus, Nique virus, Oriximina virus, Turuna virus"
"Chilibre phlebovirus","ChPbV","CACV, CHIV","Cacao virus, Chilibre virus"
"Frijoles phlebovirus","FrPbV","FRIV, JOAV","Frijoles virus, Joa virus"
"Punta Toro phlebovirus","PTPbV","BUEV, PTV","Buenaventura virus, Punta Toro virus"
"Rift Valley fever phlebovirus","RVFPbV","BELTV, ICOV, RVFV","Belterra virus, Icoaraci virus, Rift Valley fever virus"
"Salehabad phlebovirus","SaPbV","ARBV, SALV","Arbia virus, Salehabad virus"
"Sandfly fever Naples phlebovirus","SFNPbV","KARV, SFNV, THEV, TOSV","Karimabad virus, Sandfly fever Naples virus, Tehran virus, Toscana virus"
"SFTS phlebovirus","SFTSPbV","SFTSV","SFTS virus"
"Uukuniemi phlebovirus","UuPbV","EGAV, FINV, GAV, MWAV, MURV, OCV, PTVV, PPV, RMLV, SAHV, TUNV, UUKV, ZTV","EgAN 1825-61 virus, Fin V 707 virus, Grand Arbaud virus, Manawa virus, Murre virus, Oceanside virus, Ponteves virus, Precarious point virus, RML 105355 virus, St. Abbs Head virus, Tunis virus, Uukuniemi virus, Zaliv terpeniya virus"
"Echinochloa hoja blanca tenuivirus","EHBV","EHBV","Echinochloa hoja blanca virus"
"Iranian wheat stripe tenuivirus","IWSV","IWSV","Iranian wheat stripe virus"
"Maize stripe tenuivirus","MSpV","MSpV","Maize stripe virus"
"Rice grassy stunt tenuivirus","RGSV","RGSV","Rice grassy stunt virus"
"Rice hoja blanca tenuivirus","RHBV","RHBV","Rice hoja blanca virus"
"Rice stripe tenuivirus","RiSV","RSV","Rice stripe virus"
"Urochloa hoja blanca tenuivirus","UHBV","UHBV","Urochloa hoja blanca virus"
"Human picobirnavirus","HPBV",NA,NA
"Rabbit picobirnavirus","RPBV",NA,NA
"Ampivirus A","AmpV-A",NA,NA
"Bovine rhinitis A virus","BRAV-A",NA,NA
"Bovine rhinitis B virus","BRAV-B",NA,NA
"Equine rhinitis A virus","ERAV-A",NA,NA
"Foot-and-mouth disease virus","FMDV",NA,NA
"Aquamavirus A","SePV","SePV","seal picornavirus"
"Avihepatovirus A","DHV","DHV","Duck hepatitis A virus"
"Avisivirus A","AvV-A",NA,"Turkey avisivirus 1"
"Avisivirus B","AvV-B","ChPV-2","Chicken picornavirus 2"
"Avisivirus C","AvV-C","ChPV-3","Chicken picornavirus 3"
"Cardiovirus A","CrdV-A","EMCV","Encephalomyocarditis virus, Columbia SK virus, Maus Erberlfeld virus, Mengovirus"
"Cardiovirus B","CrdV-B","ThV, TMEV, TLV, VHEV","Theilovirus, Theiler's murine encephalomyocarditis virus, Theiler-like virus of rats, Vilyuisk human encephalomyocarditis virus, Thera virus, Saffold virus"
"Cardiovirus C","CrdV-C","BCV","Boone cardiovirus"
"Cosavirus A","HCoSV-A","HCoSV-A","Human cosavirus A"
"Cosavirus B","HCoSV-B","HCoSV-B","Human cosavirus B"
"Cosavirus D","HCoSV-D","HCoSV-D","Human cosavirus D"
"Cosavirus E","HCoSV-E","HCoSV-E","Human cosavirus E"
"Cosavirus F","HCoSV-F","HCoSV-F","Human cosavirus F"
