"Species","Acronyms","Other.Acronyms","Other.Names"
"Cypovirus 2","CPV-2","AuCPV-2, AvaCPV-2, AcCPV-2, AviCPV-2, BdCPV-2, DpCPV-2, ElCPV-2, HpCPV-2, IiCPV-2, LoCPV-2, MnCPV-2, MbCPV-2, ObCPV-2, PmCPV-2, PbCPV-2, PrCPV-2","Aglais urticae cypovirus 2, Agraulis vanillae cypovirus 2, Arctia caja cypovirus 2, Arctia villica cypovirus 2, Boloria dia cypovirus 2, Dasychira pudibunda cypovirus 2, Eriogaster lanestris cypovirus 2, Hyloicus pinastri cypovirus 2, Inachis io cypovirus 2, Lacanobia oleracea cypovirus 2, Malacosoma neustria cypovirus 2, Mamestra brassicae cypovirus 2, Operophtera brumata cypovirus 2, Papilio machaon cypovirus 2, Phalera bucephala cypovirus 2, Pieris rapae cypovirus 2"
"Cypovirus 3","CPV-3","ApCPV-3, AcCPV-3, DpCPV-3, GrCPV-3, MnCPV-3, ObCPV-3, PmCPV-3, PrCPV-3, SexmCPV-3","Cypovirus 3, Anaitis plagiata cypovirus 3, Arctia caja cypovirus 3, Danaus plexippus cypovirus 3, Gonometa rufibrunnea cypovirus 3, Malacosoma neustria cypovirus 3, Operophtera brumata cypovirus 3, Phlogophera meticulosa cypovirus 3, Pieris rapae cypovirus 3, Spodoptera exempta cypovirus 3"
"Cypovirus 4","CPV-4","AsCPV-4, AaCPV-4, AmCPV-4, ApCPV-4, AprCPV-4","Actias selene cypovirus 4, Antheraea assamensis cypovirus 4, Antheraea mylitta cypovirus 4, Antheraea pernyi cypovirus 4, Antheraea proylei cypovirus 4"
"Cypovirus 5","CPV-5","EsCPV-5, HaCPV-5, OpCPV-5, SexmCPV-5, TnCPV-5","Euxoa scandens cypovirus 5, Heliothis armigera cypovirus 5, Orgyia pseudosugata cypovirus 5, Spodoptera exempta cypovirus 5, Tichoplusia ni cypovirus 5"
"Cypovirus 6","CPV-6","AuCPV-6, AhCPV-6, AlCPV-6, ApCPV-6, AxCPV-6, BbCPV-6, E1CPV-6, LqCPV-6","Aglais urticae cypovirus 6, Agrochola helvolva cypovirus 6, Agrochola lychnidis cypovirus 6 , Anaitis plagiata cypovirus 6, Anti xanthomista cypovirus 6, Biston betularia cypovirus 6, Eriogaster lanestris cypovirus 6, Lasiocampa quercus cypovirus 6"
"Cypovirus 7","CPV-7","MbCPV-7, NpCPV-7","Mamestra brassicae cypovirus 7, Noctua pronuba cypovirus 7"
"Cypovirus 8","CPV-8","AgCPV-8, HaCPV-8, MdCPV-8, NcCPV-8, PmCPV-8, SexmCPV-8","Abraxas grossulariata cypovirus 8, Heliothis armigera cypovirus 8, Malacosoma disstria cypovirus 8, Nudaurelia cytherea cypovirus 8, Phlogophora meticulosa cypovirus 8, Spodoptera exempta cypovirus 8"
"Cypovirus 9","CPV-9","AsCPV-9","Agrotis segetum cypovirus 9"
"Cypovirus 10","CPV-10","AlCPV-10","Aporophyla lutulenta cypovirus 10"
"Cypovirus 11","CPV-11","HaCPV-11, HzCPV-11, LdCPV-11, MbCPV-11, PgCPV-11, PuCPV-11, SexmCPV-11, SexgCPV-11","Heliothis armigera cypovirus 11, Heliothis zea cypovirus 11, Lymantria dispar cypovirus 11, Mamestra brassicae cypovirus 11, Pectinophora gossypiella cypovirus 11, Pseudaletia unipuncta cypovirus 11, Spodoptera exempta cypovirus 11, Spodoptera exigua cypovirus 11"
"Cypovirus 12","CPV-12","AgCPV-12, MbCPV-12, PrCPV-12, SexmCPV-12","Autographa gamma cypovirus 12, Mamestra brassicae cypovirus 12, Pieris rapae cypovirus 12, Spodoptera exempta cypovirus 12"
"Cypovirus 13","CPV-13","PhCPV-13","Polistes hebraeus cypovirus 13"
"Cypovirus 14","CPV-14","HaCPV-14, LdCPV-14","Heliothis armigera cypovirus 14, Lymantria dispar cypovirus 14"
"Cypovirus 15","CPV-15","TnCPV-15","Trichoplusia ni cypovirus 15"
"Cypovirus 16","CPV-16","CfCPV-16","Choristoneura fumiferana cypovirus 16"
"Aedes pseudoscutellaris reovirus","APRV",NA,NA
"Fiji disease virus","FDV",NA,NA
"Garlic dwarf virus","GDV",NA,NA
"Maize rough dwarf virus","MRDV",NA,NA
"Mal de Rio Cuarto virus","MRCV",NA,NA
"Nilaparvata lugens reovirus","NLRV",NA,NA
"Oat sterile dwarf virus","OSDV",NA,NA
"Pangola stunt virus","PaSV",NA,NA
"Rice black streaked dwarf virus","RBSDV",NA,NA
"Southern rice black-streaked dwarf virus","SRBSDV",NA,NA
"Idnoreovirus 1","IRV-1","DpIRV-1","Diadromus pulchellus idnoreovirus-1"
"Idnoreovirus 2","IRV-2","HeIRV-2","Hyposoter exiguae idnoreovirus-2"
"Idnoreovirus 3","IRV-3","MdIRV-3","Musca domestica idnoreovirus-3"
"Idnoreovirus 4","IRV-4","DoIRV-4","Dacus oleae idnoreovirus-4"
"Idnoreovirus 5","IRV-5","CcIRV-5, DmIRV-5","Ceratitis capitata idnoreovirus-5, Drosophila megalonaster idnoreovirus-5"
"Mycoreovirus 1","MYRV-1","CpMYRV-1","Cryphonectria parasitica mycoreovirus-1"
"Mycoreovirus 2","MYRV-2","CpMYRV-2","Cryphonectria parasitica mycoreovirus-2"
"Mycoreovirus 3","MYRV-3","RnMYRV-3","Rosellinia necatrix mycoreovirus-3"
"Avian orthoreovirus","ARV",NA,NA
"Baboon orthoreovirus","BRV",NA,NA
"Mammalian orthoreovirus","MRV",NA,NA
"Nelson Bay orthoreovirus","NBV",NA,NA
"Piscine orthoreovirus","PiRV",NA,NA
"Reptilian orthoreovirus","RpRV","RRV","Reptilian orthoreovirus"
"Echinochloa ragged stunt virus","ERSV",NA,NA
"Rice ragged stunt virus","RRSV",NA,NA
"Avian carcinoma Mill Hill virus 2","ACMHV-2",NA,NA
"Avian leukosis virus","ALV",NA,NA
"Avian myeloblastosis virus","AMV",NA,NA
"Avian myelocytomatosis virus 29","AMCV-29",NA,NA
"Avian sarcoma virus CT10","ASV-CT10",NA,NA
"Fujinami sarcoma virus","FuSV",NA,NA
"Rous sarcoma virus","RSV",NA,NA
"UR2 sarcoma virus","UR2SV",NA,NA
"Y73 sarcoma virus","Y73SV",NA,NA
"Jaagsiekte sheep retrovirus","JSRV",NA,NA
"Langur virus","LNGV",NA,NA
"Mason-Pfizer monkey virus","MPMV",NA,NA
"Mouse mammary tumor virus","MMTV",NA,NA
"Squirrel monkey retrovirus","SMRV",NA,NA
"Bovine leukemia virus","BLV",NA,NA
"Primate T-lymphotropic virus 1","PTLV-1","HTLV-1, STLV-1","Human T-lymphotropic virus-1, Simian T-Lymphotropic virus-1"
"Primate T-lymphotropic virus 2","PTLV-2","HTLV-2, STLV-2, STLV-PP","Human T-lymphotropic virus-2, Simian T-Lymphotropic virus-2,  Simian T-Lymphotropic virus-PP"
"Primate T-lymphotropic virus 3","PTLV-3","STLV-3","Simian T-Lymphotropic virus-3"
"Walleye dermal sarcoma virus","WDSV",NA,NA
"Walleye epidermal hyperplasia virus 1","WEHV-1",NA,NA
"Walleye epidermal hyperplasia virus 2","WEHV-2",NA,NA
"Chick syncytial virus","CSV",NA,NA
"Feline leukemia virus","Felv",NA,NA
"Finkel-Biskis-Jinkins murine sarcoma virus","FBJMSV",NA,NA
"Gardner-Arnstein feline sarcoma virus","GAFeSV",NA,NA
"Gibbon ape leukemia virus","GALV",NA,NA
"Guinea pig type-C oncovirus","GPCOV",NA,NA
"Hardy-Zuckerman feline sarcoma virus","HZFeSV",NA,NA
"Harvey murine sarcoma virus","HaMSV",NA,NA
"Kirsten murine sarcoma virus","KiMSV",NA,NA
"Koala retrovirus","KoRV",NA,NA
"Moloney murine sarcoma virus","MoMSV",NA,NA
