"Species","Taxon.History.URL.ICTV"
"Haloferacalesvirus HF1","ICTVonline=202108774"
"Haloferacalesvirus HJTV2","ICTVonline=202112182"
"Haloferacalesvirus HRTV5","ICTVonline=202108776"
"Haloferacalesvirus HRTV8","ICTVonline=202108777"
"Haloferacalesvirus HRTV10","ICTVonline=202112180"
"Haloferacalesvirus HSTV4","ICTVonline=202112181"
"Haloferacalesvirus Serpecor1","ICTVonline=202112183"
"Laminvirus HRTV25","ICTVonline=202112187"
"Mincapvirus HSTV2","ICTVonline=202112185"
"Minorvirus HRTV27","ICTVonline=202112189"
"Hagravirus HGTV1","ICTVonline=202112197"
"Eilatmyovirus HATV2","ICTVonline=202112195"
"Agtrevirus AG3","ICTVonline=202100534"
"Agtrevirus EM4","ICTVonline=202108872"
"Agtrevirus MK13","ICTVonline=202108873"
"Agtrevirus P46FS4","ICTVonline=202108874"
"Agtrevirus SKML39","ICTVonline=202105465"
"Limestonevirus limestone","ICTVonline=202100521"
"Limestonevirus RC2014","ICTVonline=202105467"
"Kuttervirus aagejoakim","ICTVonline=202108857"
"Kuttervirus allotria","ICTVonline=202108845"
"Kuttervirus barely","ICTVonline=202108867"
"Kuttervirus bering","ICTVonline=202108869"
"Kuttervirus BSP101","ICTVonline=202108860"
"Kuttervirus CBA120","ICTVonline=202100522"
"Kuttervirus Det7","ICTVonline=202100525"
"Kuttervirus dinky","ICTVonline=202108854"
"Kuttervirus ECML4","ICTVonline=202100523"
"Kuttervirus EP75","ICTVonline=202108868"
"Kuttervirus FEC14","ICTVonline=202108862"
"Kuttervirus GG32","ICTVonline=202105471"
"Kuttervirus heyday","ICTVonline=202108849"
"Kuttervirus kv38","ICTVonline=202105470"
"Kuttervirus maane","ICTVonline=202108847"
"Kuttervirus marshall","ICTVonline=202100526"
"Kuttervirus maynard","ICTVonline=202100527"
"Kuttervirus moki","ICTVonline=202108859"
"Kuttervirus mutine","ICTVonline=202108866"
"Kuttervirus pertopsoe","ICTVonline=202108846"
"Kuttervirus PhaxI","ICTVonline=202100524"
"Kuttervirus PM10","ICTVonline=202105472"
"Kuttervirus rabagast","ICTVonline=202108848"
"Kuttervirus S118","ICTVonline=202108863"
"Kuttervirus SE14","ICTVonline=202108851"
"Kuttervirus SeB","ICTVonline=202108858"
"Kuttervirus SeG","ICTVonline=202108852"
"Kuttervirus SeJ","ICTVonline=202108864"
"Kuttervirus SenALZ1","ICTVonline=202108853"
"Kuttervirus SenASZ3","ICTVonline=202108850"
"Kuttervirus SeSz1","ICTVonline=202108856"
"Kuttervirus SFP10","ICTVonline=202100528"
"Kuttervirus SH19","ICTVonline=202100529"
"Kuttervirus SJ2","ICTVonline=202100530"
"Kuttervirus SJ3","ICTVonline=202100531"
"Kuttervirus SP1","ICTVonline=202108855"
"Kuttervirus SS9","ICTVonline=202108865"
"Kuttervirus STML131","ICTVonline=202100532"
"Kuttervirus STW77","ICTVonline=202108861"
"Kuttervirus ViI","ICTVonline=202100533"
"Campanilevirus YC","ICTVonline=202108917"
"Kujavirus kuja","ICTVonline=202108919"
"Miltonvirus 3M","ICTVonline=202108925"
"Miltonvirus MAM1","ICTVonline=202105478"
"Nezavisimistyvirus bue1","ICTVonline=202108923"
"Nezavisimistyvirus Ea2809","ICTVonline=202105475"
"Taipeivirus 0507KN21","ICTVonline=202105476"
"Taipeivirus IME250","ICTVonline=202105477"
"Taipeivirus KpS110","ICTVonline=202108040"
"Taipeivirus KWBSE436","ICTVonline=202108037"
"Taipeivirus magnus","ICTVonline=202108870"
"Taipeivirus may","ICTVonline=202108038"
"Taipeivirus menlow","ICTVonline=202108039"
"Taipeivirus UPM2146","ICTVonline=202108871"
"Tedavirus A829","ICTVonline=202108921"
"Vapseptimavirus VAP7","ICTVonline=202108915"
"Harrekavirus harreka","ICTVonline=202113575"
"Cebadecemvirus phi10una","ICTVonline=202113553"
"Cellubavirus phi19una","ICTVonline=202113555"
"Nekkelsvirus Nekkels","ICTVonline=202113551"
"Daemvirus acibel007","ICTVonline=202108513"
"Friunavirus AB1","ICTVonline=202100549"
"Friunavirus AB3","ICTVonline=202100543"
"Friunavirus AB6","ICTVonline=202106913"
"Friunavirus AbKT21III","ICTVonline=202108507"
"Friunavirus Abp1","ICTVonline=202100544"
"Friunavirus Aci07","ICTVonline=202108506"
"Friunavirus Aci08","ICTVonline=202108505"
"Friunavirus AS11","ICTVonline=202106909"
"Friunavirus AS12","ICTVonline=202106910"
"Friunavirus B1","ICTVonline=202106903"
